date,Number_of_users,ALL_users
2020-7-11,105.0854,115.9004
2020-7-12,105.1166,115.9292
2020-7-13,105.1475,115.9604
2020-7-14,105.2309,116.0535
2020-7-15,105.2952,116.121
2020-7-16,105.3504,116.178
2020-7-17,105.4165,116.2483
2020-7-18,105.492,116.3279
2020-7-19,105.5027,116.3338
2020-7-20,105.5358,116.3602
2020-7-21,105.6121,116.4431
2020-7-22,105.6837,116.506
2020-7-23,105.735,116.5719
2020-7-24,105.7933,116.6363
2020-7-25,105.8488,116.701
2020-7-26,105.8982,116.7543
2020-7-27,105.9371,116.7899
2020-7-28,106.0182,116.8814
2020-7-29,106.0864,116.9547
2020-7-30,106.1657,117.0386
2020-7-31,106.2348,117.1118
2020-8-1,106.3327,117.2172
2020-8-2,106.2823,117.1523
2020-8-3,106.2914,117.1551
2020-8-4,106.3808,117.2499
2020-8-5,106.4184,117.2881
2020-8-6,106.4857,117.3549
2020-8-7,106.5433,117.4158
2020-8-8,106.5943,117.4727
2020-8-9,106.6333,117.5128
2020-8-10,106.642,117.5172
2020-8-11,106.7048,117.5846
2020-8-12,106.75,117.6319
2020-8-13,106.7808,117.6661
2020-8-14,106.8003,117.6864
2020-8-15,106.8404,117.7252
2020-8-16,106.8621,117.7481
2020-8-17,106.88,117.768
2020-8-18,106.9292,117.8243
2020-8-19,106.968,117.8641
2020-8-20,106.9779,117.8815
2020-8-21,107.0057,117.9121
2020-8-22,107.0361,117.9489
2020-8-23,107.0393,117.9474
2020-8-24,107.0517,117.9557
2020-8-25,107.0655,117.9744
2020-8-26,107.1035,118.0158
2020-8-27,107.148,118.0587
2020-8-28,107.1566,118.0666
2020-8-29,107.1879,118.0993
2020-8-30,107.212,118.1252
2020-8-31,107.2392,118.1509
2020-9-1,107.3142,118.2277
2020-9-2,107.2683,118.1769
2020-9-3,107.3034,118.214
2020-9-4,107.279,118.1849
2020-9-5,107.3307,118.2397
2020-9-6,107.3312,118.2374
2020-9-7,107.3202,118.2235
2020-9-8,107.3634,118.2725
2020-9-9,107.3561,118.266
2020-9-10,107.3534,118.2657
2020-9-11,107.3715,118.2848
2020-9-12,107.419,118.3327
2020-9-13,107.4377,118.3526
2020-9-14,107.4375,118.3509
2020-9-15,107.5005,118.4112
2020-9-16,107.5099,118.426
2020-9-17,112.9394,118.4596
2020-9-18,112.9617,118.4839
2020-9-19,112.9955,118.517
2020-9-20,113.0065,118.5267
2020-9-21,113.0008,118.5181
2020-9-22,113.076,118.5959
2020-9-23,113.1175,118.6358
2020-9-24,113.1693,118.6884
2020-9-25,113.223,118.7427
2020-9-26,113.2494,118.77
2020-9-27,113.2842,118.8022
2020-9-28,113.3187,118.8385
2020-9-29,113.412,118.9367
2020-9-30,113.7052,119.2398
2020-10-1,113.8292,119.3706
2020-10-2,113.8124,119.3417
2020-10-3,113.8253,119.3454
2020-10-4,113.8558,119.3793
2020-10-5,113.9023,119.4254
2020-10-6,113.9399,119.4653
2020-10-7,113.9742,119.5004
2020-10-8,114.0032,119.5241
2020-10-9,114.067,119.5947
2020-10-10,114.0667,119.5982
2020-10-11,114.0548,119.5868
2020-10-12,114.0406,119.5688
2020-10-13,114.0528,119.5882
2020-10-14,114.0554,119.5895
2020-10-15,114.0612,119.5956
2020-10-16,114.0528,119.5877
2020-10-17,114.0566,119.5939
2020-10-18,114.04,119.5754
2020-10-19,114.018,119.5503
2020-10-20,114.0452,119.575
2020-10-21,114.0638,119.5929
2020-10-22,114.0786,119.6079
2020-10-23,114.1151,119.6469
2020-10-24,114.1377,119.6703
2020-10-25,114.1546,119.677
2020-10-26,114.1598,119.6855
2020-10-27,114.0612,119.5874
2020-10-28,114.0901,119.6151
2020-10-29,114.1168,119.6403
2020-10-30,114.1698,119.7008
2020-10-31,114.2507,119.7845
2020-11-1,114.3239,119.8597
