标题:,'温度计总'
垂直标签:,''
开始时间:,2020-10-31 22:50:00
结束时间:,2020-10-31 22:50:00
步进:,300
总行数:,288
图形编号:,1729
主机编号:,0

Date,col1-cdefa,col2-cdefb,col3-cdefc,col4-cdefd,col5-cdefe,col6-cdeff,col7-cdefg,åºå£æµé,äºèäºéæ»æµé,IDCæ»æµé,col11-cdefa,col12-cdefb,col13-cdefd,col14-cdefcc,col15-cdefcd,col16-cdefce,col17-cdefcf,col18-cdefcg,col19-cdefch,col20-cdefci,col21-cdefcj,col22-cdefda,col23-cdefdb,col24-cdefdc,col25-cdefdd,col26-cdefde,col27-cdefdf,col28-cdefdg,col29-cdefdh,col30-cdefdi,col31-cdefdj,col32-cdefea,col33-cdefeb,æ»æµé,åºå£ä½¿ç¨ç,äºèäºéä½¿ç¨ç,IDCä½¿ç¨ç
2020-11-01 19:00:00,6.1568771935e+10,0.0000000000e+00,1.1859470316e+08,1.6921406967e+10,2.7828259693e+08,1.0246975147e+06,8.0160836949e+07,7.8731052330e+10,2.7477467865e+11,7.1956518665e+11,6.1568771935e+10,0.0000000000e+00,1.6921406967e+10,6.3325346644e+10,2.2627779673e+11,5.4855078102e+10,1.4984562216e+10,6.4111217903e+10,2.2634904092e+11,5.4804456389e+10,1.4857687753e+10,5.7976677706e+09,2.1643305127e+10,2.6453201234e+10,8.1980867688e+10,3.3314195554e+09,8.1313716078e+10,4.8029441203e+10,1.3878605348e+09,4.5025923278e+09,0.0000000000e+00,0.0000000000e+00,5.7548056107e+08,1.0730709176e+12,7.3369850060e+00,2.5606385760e+01,6.7056629234e+01
2020-11-01 19:05:00,6.3249954076e+10,0.0000000000e+00,1.1685798505e+08,1.7868886115e+10,2.6709918786e+08,1.0301290010e+06,8.0541131464e+07,8.1350652654e+10,2.7393836108e+11,7.2518577191e+11,6.3249954076e+10,0.0000000000e+00,1.7868886115e+10,6.4304851513e+10,2.2578009480e+11,5.6138226260e+10,1.5959660532e+10,6.4815499745e+10,2.2617843656e+11,5.6105598899e+10,1.5903403605e+10,5.7644531764e+09,2.1719680942e+10,2.7233402217e+10,8.0439501138e+10,3.2247020424e+09,8.1234990903e+10,4.8144400308e+10,1.3393589066e+09,4.4753340879e+09,0.0000000000e+00,0.0000000000e+00,5.9434982366e+08,1.0804747856e+12,7.5291578975e+00,2.5353517242e+01,6.7117324860e+01
2020-11-01 19:10:00,6.3770433185e+10,0.0000000000e+00,1.1709580400e+08,1.8597232296e+10,2.6270214514e+08,9.9892285133e+05,8.1798921359e+07,8.2596069666e+10,2.7495416801e+11,7.2611183066e+11,6.3770433185e+10,0.0000000000e+00,1.8597232296e+10,6.5041011063e+10,2.2602403656e+11,5.6110299644e+10,1.5433423629e+10,6.5756774969e+10,2.2663329868e+11,5.5704461404e+10,1.5408524713e+10,5.8386108108e+09,2.1496355553e+10,2.7674775570e+10,7.9133470721e+10,3.2284885588e+09,8.2701359741e+10,4.8723910644e+10,1.3186170599e+09,4.4861949520e+09,0.0000000000e+00,0.0000000000e+00,5.8078858853e+08,1.0836620683e+12,7.6219397245e+00,2.5372685457e+01,6.7005374819e+01
2020-11-01 19:15:00,6.4590513382e+10,0.0000000000e+00,1.2848984645e+08,1.8703943174e+10,2.8413868914e+08,1.0135656965e+06,8.1411830919e+07,8.3532530796e+10,2.7435599218e+11,7.3805835977e+11,6.4590513382e+10,0.0000000000e+00,1.8703943174e+10,6.6715200721e+10,2.3041530586e+11,5.6159253515e+10,1.5795198233e+10,6.7236112009e+10,2.2962042098e+11,5.6206779202e+10,1.5910089248e+10,6.0779143874e+09,2.1033211958e+10,2.7675460624e+10,7.8239880378e+10,3.2197364685e+09,8.3131174121e+10,4.8992257966e+10,1.2923830270e+09,4.3449236750e+09,0.0000000000e+00,0.0000000000e+00,5.8712381776e+08,1.0959468827e+12,7.6219506721e+00,2.5033694288e+01,6.7344355040e+01
2020-11-01 19:20:00,6.5587511908e+10,0.0000000000e+00,1.3159076413e+08,1.9099647564e+10,3.2309182270e+08,1.0503760454e+06,8.3976792174e+07,8.4963687699e+10,2.7603660494e+11,7.3715259637e+11,6.5587511908e+10,0.0000000000e+00,1.9099647564e+10,6.6463438738e+10,2.3048800681e+11,5.6089682945e+10,1.5380466500e+10,6.6751242892e+10,2.2980322610e+11,5.6732545729e+10,1.5443986658e+10,6.0469486427e+09,2.1328737104e+10,2.7948281628e+10,7.7574457012e+10,3.3368328089e+09,8.4225111975e+10,4.9490458281e+10,1.3263007510e+09,4.4376141248e+09,0.0000000000e+00,0.0000000000e+00,5.9839083859e+08,1.0981528890e+12,7.7369634546e+00,2.5136445726e+01,6.7126590819e+01
2020-11-01 19:25:00,6.5925871278e+10,0.0000000000e+00,1.2414111879e+08,1.9936711163e+10,3.3705106031e+08,1.0319538632e+06,8.6265549743e+07,8.6162789886e+10,2.7687367108e+11,7.4203890532e+11,6.5925871278e+10,0.0000000000e+00,1.9936711163e+10,6.7532653266e+10,2.3092814897e+11,5.7461439680e+10,1.4918548562e+10,6.7614343912e+10,2.3121645425e+11,5.7479622864e+10,1.4887693815e+10,5.8890414797e+09,2.2115080852e+10,2.8252532438e+10,7.7287992504e+10,3.3274845418e+09,8.4087069858e+10,4.9487363502e+10,1.3647730939e+09,4.7332565593e+09,0.0000000000e+00,0.0000000000e+00,6.2928370180e+08,1.1050753663e+12,7.7970057531e+00,2.5054731970e+01,6.7148262277e+01
2020-11-01 19:30:00,6.5490866612e+10,0.0000000000e+00,1.1974731573e+08,1.9969223724e+10,3.3715064566e+08,1.0418641906e+06,8.2229719420e+07,8.5760765249e+10,2.7551208107e+11,7.4576042518e+11,6.5490866612e+10,0.0000000000e+00,1.9969223724e+10,6.8754648365e+10,2.3097644714e+11,5.8219670745e+10,1.5052206868e+10,6.8766245894e+10,2.3083718530e+11,5.8010116393e+10,1.5143904469e+10,5.8309239116e+09,2.2190007565e+10,2.8366957314e+10,7.6161290547e+10,3.3579860395e+09,8.3715687688e+10,4.9586607398e+10,1.3484632512e+09,4.6217410923e+09,0.0000000000e+00,0.0000000000e+00,6.3309118060e+08,1.1070332715e+12,7.7469004282e+00,2.4887425533e+01,6.7365674038e+01
2020-11-01 19:35:00,6.6556688172e+10,0.0000000000e+00,1.1950625168e+08,1.9806576741e+10,2.8074628065e+08,1.0485152090e+06,8.7008596180e+07,8.6612562053e+10,2.7330386257e+11,7.4576935344e+11,6.6556688172e+10,0.0000000000e+00,1.9806576741e+10,6.8760141792e+10,2.3084088981e+11,5.8481478136e+10,1.4871352902e+10,6.8890331120e+10,2.3016774877e+11,5.8721676778e+10,1.5035734131e+10,5.8743233196e+09,2.1468315148e+10,2.8881715109e+10,7.6081134988e+10,3.2486471110e+09,8.2385177940e+10,4.8970893058e+10,1.2901279418e+09,4.7269389214e+09,0.0000000000e+00,0.0000000000e+00,6.2588617491e+08,1.1056857781e+12,7.8333794077e+00,2.4718040875e+01,6.7448579717e+01
2020-11-01 19:40:00,6.7881505592e+10,0.0000000000e+00,1.3231806627e+08,2.0128551734e+10,2.9826729662e+08,1.0280099466e+06,8.7717894059e+07,8.8264752460e+10,2.7085261089e+11,7.4276082824e+11,6.7881505592e+10,0.0000000000e+00,2.0128551734e+10,6.8437097671e+10,2.2847705866e+11,5.9171692074e+10,1.5378043533e+10,6.8575847630e+10,2.2799441613e+11,5.9199746174e+10,1.5526926368e+10,5.6731802720e+09,2.1452308608e+10,2.8868065346e+10,7.4591111556e+10,3.3416728465e+09,8.1593422286e+10,4.8897157913e+10,1.3010721591e+09,4.7888657272e+09,0.0000000000e+00,0.0000000000e+00,6.0044930641e+08,1.1018781916e+12,8.0103910881e+00,2.4580993884e+01,6.7408615028e+01
2020-11-01 19:45:00,6.8610316598e+10,0.0000000000e+00,1.5324419769e+08,2.0421194957e+10,3.0721852499e+08,1.0308658546e+06,8.6001542836e+07,8.9272518291e+10,2.6732138940e+11,7.3974461208e+11,6.8610316598e+10,0.0000000000e+00,2.0421194957e+10,6.7645491944e+10,2.2743784969e+11,5.9467003519e+10,1.5379399365e+10,6.7779439376e+10,2.2708962458e+11,5.9597637687e+10,1.5348165915e+10,5.6715284924e+09,2.0885910493e+10,2.8949211596e+10,7.3252089937e+10,3.3171803258e+09,8.0476623838e+10,4.8055381928e+10,1.3257980212e+09,5.0278450538e+09,0.0000000000e+00,0.0000000000e+00,6.0082645467e+08,1.0963385198e+12,8.1427877139e+00,2.4383106548e+01,6.7474105738e+01
2020-11-01 19:50:00,6.7182678370e+10,0.0000000000e+00,1.4522126172e+08,1.9748888540e+10,3.1928323983e+08,1.0322054827e+06,8.2378955435e+07,8.7189040049e+10,2.6684676597e+11,7.3643015337e+11,6.7182678370e+10,0.0000000000e+00,1.9748888540e+10,6.7175750782e+10,2.2650591863e+11,5.8425518660e+10,1.5529096931e+10,6.7785581550e+10,2.2650611652e+11,5.8811448204e+10,1.5690722094e+10,5.7028946005e+09,2.1330904042e+10,2.8813147863e+10,7.2778125104e+10,3.2056716739e+09,8.0575177853e+10,4.7786780282e+10,1.2923984283e+09,5.0043965270e+09,0.0000000000e+00,0.0000000000e+00,6.1474273937e+08,1.0904659594e+12,7.9955765054e+00,2.4470893720e+01,6.7533529775e+01
2020-11-01 19:55:00,6.6628962590e+10,0.0000000000e+00,1.4033480269e+08,1.9312209833e+10,3.3651115482e+08,1.0524685672e+06,7.7864212004e+07,8.6216265456e+10,2.6449413470e+11,7.3358167382e+11,6.6628962590e+10,0.0000000000e+00,1.9312209833e+10,6.8066195309e+10,2.2589209048e+11,5.7518466519e+10,1.4838546387e+10,6.8795724033e+10,2.2533473291e+11,5.8131688655e+10,1.5004229530e+10,5.5948251343e+09,2.2083773834e+10,2.8835245064e+10,7.2206933619e+10,3.1609205243e+09,7.8976574735e+10,4.7202743256e+10,1.2525006195e+09,4.8311129487e+09,0.0000000000e+00,0.0000000000e+00,6.2459799704e+08,1.0842920740e+12,7.9513875943e+00,2.4393255383e+01,6.7655357023e+01
2020-11-01 20:00:00,6.6524625622e+10,0.0000000000e+00,1.2599698033e+08,1.9640970738e+10,3.0873496335e+08,1.0711633454e+06,7.6973265102e+07,8.6426378771e+10,2.6320635169e+11,7.2248942210e+11,6.6524625622e+10,0.0000000000e+00,1.9640970738e+10,6.7188593527e+10,2.2176788471e+11,5.6560750646e+10,1.4628188814e+10,6.7976072505e+10,2.2203000945e+11,5.7303708359e+10,1.5034214088e+10,5.4645125646e+09,2.2532471629e+10,2.8566600704e+10,7.1572417940e+10,3.1320951811e+09,7.8605872905e+10,4.6863634760e+10,1.2729290025e+09,4.8425578092e+09,0.0000000000e+00,0.0000000000e+00,6.1404160883e+08,1.0721221526e+12,8.0612436339e+00,2.4550033880e+01,6.7388722486e+01
2020-11-01 20:05:00,6.6435506912e+10,0.0000000000e+00,1.3835434442e+08,1.9907094449e+10,2.9583298569e+08,1.1494102720e+06,8.8509843311e+07,8.6589739256e+10,2.6022799314e+11,7.1853239766e+11,6.6435506912e+10,0.0000000000e+00,1.9907094449e+10,6.6978264801e+10,2.1975414640e+11,5.7883680916e+10,1.4785874928e+10,6.7827803682e+10,2.1806128814e+11,5.7989179406e+10,1.5252159380e+10,5.6641774724e+09,2.2225174697e+10,2.8748985050e+10,7.0613825884e+10,3.0601723013e+09,7.7386110977e+10,4.6259390622e+10,1.1925714177e+09,4.7290298737e+09,0.0000000000e+00,0.0000000000e+00,5.9569273878e+08,1.0653501301e+12,8.1278198419e+00,2.4426522868e+01,6.7445657290e+01
2020-11-01 20:10:00,6.6606463222e+10,0.0000000000e+00,1.5532108939e+08,2.0189756644e+10,2.9978721511e+08,1.0934413238e+06,8.5136003986e+07,8.7026915436e+10,2.5928811391e+11,7.1183796300e+11,6.6606463222e+10,0.0000000000e+00,2.0189756644e+10,6.6881259312e+10,2.1333443282e+11,5.8403378978e+10,1.5897513604e+10,6.7831675594e+10,2.1412127434e+11,5.8978503955e+10,1.6389924398e+10,5.5851380520e+09,2.2589170045e+10,2.8939478275e+10,7.0623966936e+10,3.0667723913e+09,7.6625421949e+10,4.5410940524e+10,1.2084723292e+09,4.8871458616e+09,0.0000000000e+00,0.0000000000e+00,5.8230311689e+08,1.0581529923e+12,8.2244170801e+00,2.4503839784e+01,6.7271743136e+01
